id,udise,sch_name,imms_id
116,28120207703,GPS (TW) MORAMMAGUDA,12070665
117,28120207901,GPS(TW) KUDDA,12070666
118,28120208001,GPS PENGUVA,12070667
119,28120208103,MPPS CHINAGEESADA,12070668
120,28120208201,GPS(TW) PEDARAVIKONA,12070669
121,28120208301,GPS(TW)  CHINARAVIKONA,12070670
122,28120208401,MPPS NONDRUKONDA,12070671
123,28120208501,MPPS SAMBUGUDA,12070672
124,28120208701,GPS PUSABADI,12070674
125,28120208801,MPPS RASABADI,12070675
126,28120208802,MPPS SEEMALAVALASA,12070676
127,28120208803,GPS(TW ) SEEMALAVALASA,12070677
128,28120208901,MPPS TANKU,12070679
129,28120209001,GPS(TW)  CHINAVANKADHARA,12070680
130,28120209101,GPS URITI,12070681
131,28120209201,MPPS JARNA,12070682
132,28120209301,MPPS Y CHORUPALLI,12070683
133,28120209302,GPS(TW)  CHORUPALLE,12070684
134,28120209401,GPSTW BABBIDI,12070685
135,28120209501,GPS GEESADA,12070686
136,28120209602,MPPS ATCHABA,12070687
137,28120209701,GPS (TW)  KUSA,12070688
138,28120209801,MPPS BAYYADA,12070689
139,28120209901,GPS VALLADA,12070690
140,28120210001,MPPS GORADA,12070691
141,28120210003,GTW ASHRAM SCHOOL(BOYS)  GORADA,12070692
142,28120210201,AIDED PS KARIVALASA,12070693
143,28120210202,AIDED PS P AMITI,12070694
144,28120210203,GPS(TW ) P AMITI COL,12070695
145,28120210205,GTW ASHRAM SCHOOL(GIRLS)  P. AMITY,12070696
146,28120210210,MPPS GOPALAPURAM,12070697
147,28120210301,GPS(TW) KUDDAPAVALASA,12070698
148,28120210401,MPPS SADUNUGUDA,12070699
149,28120210501,MPPS VANJARAPADUGUDA,12070700
150,28120210601,MPPS DIGUVAMANDA,12070702
151,28120210801,MPPS REGIDI,12070703
152,28120210804,GTW ASHRAM SCHOOL(GIRLS)  REGIDI,12070704
153,28120211001,GPS BALESU,12070705
154,28120211201,MPPS DIGUVADERUVADA,12070706
155,28120211301,GPS(TW) VANAKABADI,12070707
156,28120211401,GPS(TW) GEDRAJOLA,12070708
157,28120211501,GPS (TW) VANDIDI,12070709
158,28120211601,GPS(TW)  DONGARAKIKKUVA,12070710
159,28120211701,MPPS JOGIPURAM,12070711
160,28120211801,MPPS KONDAKUNERU,12070712
161,28120211901,GPS(TW)  VADAPUTTI,12070713
162,28120212001,GPS NELLIKIKKUVA,12070714
163,28120212101,MPPS DUDDUKHALLU,12070715
164,28120212103,GPS(TW) DORAKIKKUVA,12070716
165,28120212104,GTW ASHRAM SCHOOL(BOYS)  DUDDUKALLU,12070717
166,28120212107,GPS(TW) KOTHAVALASA,12070718
167,28120212201,MPPS BELLIDI,12070719
168,28120212202,MPPS DADUPURAM,12070720
169,28120212203,GPS BODLAGUDA,12070721
170,28120212205,GPS(TW) LOVA LAKSHMIPURAM,12070723
171,28120212206,GTW ASHRAM SCHOOL(BOYS)  DORAJAMMU,12070724
172,28120212301,MPPS CHINTALAPADU,12070725
173,28120212302,MPPS BUDDAMMAKHARJA,12070726
174,28120212303,GPS MEDARAGANDA,12070727
175,28120212401,MPPS TIKKABAI,12070728
176,28120212402,GPS(TW) MALLUGUDA,12070729
177,28120212403,GTW ASHRAM SCHOOL(BOYS)  TIKKABAI,12070730
